organism	gene	rank	peaktime	periodicity_pvalue	regulation_pvalue
9606	ENSP00000349882	369	0	0.000110470308615031	0.00018637897543163
9606	ENSP00000377793	370	95	4.50675856726979e-06	0.00471461851845745
9606	ENSP00000338343	371	87	7.20522e-07	0.029608905456
9606	ENSP00000364839	372	88	1.395e-08	1.575269604495
9606	ENSP00000240488	373	74	2.1225e-08	1.042691494902
9606	ENSP00000233146	374	47	6.97674475007933e-08	0.330875194307959
9606	ENSP00000310842	375	67	2.77275186629963e-08	0.837774043648939
9606	ENSP00000328269	376	92	0.000188013493704164	0.000126155079470182
9606	ENSP00000334840	377	75	0.00331773923591593	7.23268579404392e-06
9606	ENSP00000308546	378	79	2.1908e-07	0.122754075444
9606	ENSP00000245812	379	44	8.4870086688e-08	0.319318863025796
9606	ENSP00000295119	380	89	8.17e-08	0.335925760872
9606	ENSP00000354794	381	92	1.24949068991128e-07	0.225110918812681
9606	ENSP00000306157	382	91	0.00893256251423052	3.16049035331698e-06
9606	ENSP00000354958	383	11	5.23359275157525e-07	0.0543988177633899
9606	ENSP00000361066	385	4	4.39644893874152e-08	0.658976241734369
9606	ENSP00000369325	386	70	7.35208118957812e-07	0.0398204219221453
9606	ENSP00000265602	387	91	0.000446693189989815	6.56793830852893e-05
9606	ENSP00000332973	388	87	1.28008676013173e-05	0.00232599127131172
9606	ENSP00000274242	389	8	2.00951453143482e-06	0.0149607364753838
9606	ENSP00000263382	390	59	7.026321549384e-08	0.429248055094033
9606	ENSP00000303706	392	38	1.2766641043188e-08	2.4534694124998
9606	ENSP00000302961	394	15	4.7677415234993e-07	0.0672209580223564
9606	ENSP00000389014	395	61	6.70908479763614e-08	0.519635483885481
9606	ENSP00000356562	396	7	0.000315984575701053	0.000117814460678596
